__genus__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Unclassified,84.81897757290102,90.1871629480808,94.67665615141956,88.48593365906953,87.93545562574269,80.89224208627193,88.32185675836274,87.85719699840826,72.92304204918962,89.19833077092028,94.25442291491154,90.45565019377723,84.8735649719669,92.31822644824557,85.33384301732926,90.13741249675914,92.46610386288053,92.90648320248565,92.07589285714286,88.78936723490321
Methanoregula,0.09323043455741441,0.4159176624017482,0.362776025236593,1.1046705714545841,2.464194133466758,6.027554535017222,1.9504351777412703,2.668081558402183,11.01666099965998,1.5638040852185373,0.5026677899466442,1.3400188303299687,2.5439566726419773,0.7829052762131157,2.217125382262997,1.3430127041742286,0.6395497569710923,0.6186367797597581,0.8163265306122449,1.122026389290186
Methanoculleus,0.041435748692184186,0.5921539600296076,0.483701366982124,1.15322751965039,1.1726812183376072,1.9763818271280957,0.8808416931734768,0.9777912529371636,2.1647965544599344,1.5066988798594334,0.5953383880932323,0.9174311926605505,1.5484953659559861,0.8991783370368456,1.529051987767584,1.1459683691988591,0.6395497569710923,0.7018614586512053,0.9566326530612245,1.3916979678320331
Methanothrix,0.16574299476873675,0.22205773501110287,0.2050473186119874,0.5493004764650542,1.2633685658890488,1.771362965392816,1.7372155615365794,1.5993329796103997,2.4821489289357364,0.6105864265319569,0.15445099691098005,0.7575923452519104,1.6934284297646744,0.31781303291819546,2.025993883792049,0.9644801659320715,0.2686108979278588,0.2025133853025217,0.26785714285714285,0.9582972166040643
Methanofollis,0.015538405759569067,0.3066511578724754,0.3207150368033649,0.7708415526084186,0.719244480580399,1.3367229785140233,0.6361634450697333,0.8034563783824755,1.5640938456307378,1.0806061937184273,0.41280539174389214,0.5802369118258851,1.025973530645715,0.5581106919539042,0.8792048929663608,0.6274306455794659,0.5116398055768739,0.4549615779399118,0.5963010204081634,0.9823750361167293
Methanolinea,0.031076811519138135,0.3348489654929329,0.2996845425867508,0.8163636915419865,0.719244480580399,1.3285222240446122,0.6606312698801077,0.7352383839915106,1.5300918055083303,1.0015374478365913,0.40438079191238413,0.5846160583302314,1.003089362675922,0.5581106919539042,0.7900101936799184,0.6792844179414053,0.5755947812739831,0.45773573390296,0.5835459183673469,0.9294038331888663
Candidatus Nitrosotalea,7.069974620603927,3.4577561594586017,0.042060988433228176,0.024278474097902947,0.04065294890237038,0.04100377234705593,0.04194484253207033,0.03789888577275828,0.06800408024481469,0.03953437294091808,0.014040999719180006,0.048170611547809335,0.05721041992448225,0.03875768694124335,1.0575942915392456,0.2074150894477573,0.06395497569710924,0.08322467889144727,0.04145408163265306,0.019262255610131947
Candidatus Methanoperedens,3.7654736624022376,0.3700962250185048,0.13406940063091483,0.8285029285909381,0.16261179560948152,0.09840905363293423,0.13632073822922858,0.16675509740013644,0.22668026748271564,0.10542499450911487,0.2948609941027801,0.25618007050425873,0.21358556771806703,0.2532168880161232,0.4204892966360856,0.3629764065335753,1.9442312611921209,1.1485005687019723,0.6728316326530612,0.12520466146585765
Methanocella,0.15020458900916767,0.32427478763526135,0.18401682439537329,0.5401960486783406,0.5003439864907123,0.5084467771034935,0.5627599706386102,0.5078450693549609,0.3853564547206166,0.4436635185591917,0.33979219320415616,0.2934028157912023,0.49963766734047826,0.8164952715621931,0.4969418960244648,0.40964480165932066,0.28140189306728064,0.36896274308541627,0.3284438775510204,0.736781277087547
Methanobacterium,0.08287149738436837,0.130414860244616,0.16035751840168244,1.1592971381748658,0.34398649071236476,0.5084467771034935,0.42643923240938164,0.4547866292730993,0.32868638784993764,0.2020645728091368,0.13479359730412804,0.2342843379825272,0.32800640756703153,0.1782853599297194,0.4969418960244648,0.3422348975887996,0.10232796111537479,0.16367520181984632,0.29336734693877553,0.8475392468458057
Methanosarcina,0.24861449215310508,0.19385992739064536,0.13932702418506834,0.29437649843707325,0.3783851397836012,0.41003772347055933,0.37400817924429375,0.27287197756385967,0.72537685594469,0.23720623764550844,0.14602639707947204,0.22771561822600775,0.34707654754185896,0.16794997674538784,0.3950050968399592,0.3629764065335753,0.23023791250959325,0.1692235137459428,0.19451530612244897,0.2263315034190504
Candidatus Methanosuratincola,0.020717874346092093,0.04582143738324346,0.11303890641430074,0.13656641680070408,0.722371630495966,0.4756437592258488,0.5767415848159669,0.31835064049116957,0.5440326419585175,0.24159894575005492,0.07582139848357203,0.5014122747476517,0.6598268431290286,0.11627306082373004,0.11467889908256881,0.11407829919626654,0.08953696597595293,0.08599883485449551,0.09247448979591837,0.12520466146585765
Candidatus Bilamarchaeum,0.005179468586523023,0.02819780762045751,0.01840168243953733,0.039452520409092286,0.08130589780474076,0.21321961620469082,0.13981614177356777,0.25013264610020464,0.5440326419585175,0.1757083241818581,0.03369839932603201,0.7181800267127937,1.46077272207178,0.020670766368663118,0.22935779816513763,0.1244490536686544,0.012790995139421849,0.01109662385219297,0.025510204081632654,0.02407781951266493
Methanosphaerula,0.015538405759569067,0.0951676007190441,0.1025236593059937,0.17601893720979636,0.20639189442741884,0.4592422502870264,0.15729315949526373,0.219813537481998,0.5326986285843817,0.30309685921370527,0.08986239820275203,0.17297628692167896,0.33563446355696247,0.16536613094930494,0.20387359836901123,0.19185895773917552,0.14070094653364032,0.1553527339307016,0.1753826530612245,0.24077819512664933
Methanocalculus,0.005179468586523023,0.0951676007190441,0.11303890641430074,0.23368031319231589,0.19388329476515104,0.3608331966540922,0.18875179139431647,0.18191465170923976,0.27201632097925876,0.18888644849549746,0.11232799775344005,0.18173457993037156,0.29749418360730767,0.17570151413363652,0.22935779816513763,0.16593207155820586,0.12790995139421849,0.1442561100785086,0.18176020408163265,0.29374939805451217
Methanospirillum,0.041435748692184186,0.09869232667160127,0.08675078864353312,0.2094018390944129,0.16573894552504848,0.30342791536821384,0.1782655807612989,0.13643598878192983,0.4873625750878386,0.2240281133318691,0.08705419825891604,0.15108055439994744,0.24409779167779092,0.13435998139631028,0.22935779816513763,0.12963443090484833,0.06395497569710924,0.1109662385219297,0.15625,0.2215159395165174
Methanomassiliicoccus,0.1398456518361216,0.10221705262415848,0.03680336487907466,0.13656641680070408,0.12508599662267808,0.13941282597999016,0.1747701772169597,0.13643598878192983,0.2946843477275303,0.19327915660004394,0.07020499859590003,0.08101421033040661,0.11823486784392997,0.09301844865898402,0.2420998980632008,0.10889292196007261,0.10232796111537479,0.06380558715010957,0.07334183673469388,0.13483578927092363
Thermococcus,0.06215362303827627,0.0951676007190441,0.13144058885383808,0.15174046311189343,0.09694164738257552,0.16401508938822373,0.13981614177356777,0.09853710300917153,0.13600816048962938,0.10542499450911487,0.09828699803426004,0.13356396838256224,0.0915366718791716,0.1033538318433156,0.1783893985728848,0.10370754472387865,0.08953696597595293,0.091547146780592,0.11160714285714285,0.15409804488105558
